Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,area_comfort,street,district
495000.0,3.0,4420.0,11.0,32.0,2017.0,112.0,45.0,54.0,13.0,Українки,Деснянський
45900.0,2.0,478.0,31.0,34.0,2009.0,96.0,62.0,16.0,18.0,Милославська,Деснянський
33000.0,1.0,1000.0,14.0,24.0,2009.0,33.0,16.0,5.0,12.0,Милославська,Деснянський
66500.0,3.0,1147.0,3.0,5.0,1961.0,58.0,42.0,7.0,9.0,Донця,Оболонський
119900.0,3.0,1462.0,8.0,12.0,2002.0,82.0,48.0,14.0,20.0,Верховинця,Оболонський
145000.0,4.0,1381.0,1.0,9.0,1977.0,105.0,80.0,12.0,13.0,Героїв Дніпра,Оболонський
118000.0,3.0,1494.0,17.0,25.0,2018.0,79.0,36.0,35.0,8.0,Каховська,Дніпровський
41000.0,1.0,1323.0,21.0,26.0,2018.0,31.0,12.0,8.0,11.0,Каховська,Дніпровський
59899.0,2.0,1070.0,8.0,10.0,1995.0,56.0,34.0,8.0,14.0,Вишняківська,Дарницький
177000.0,2.0,2565.0,3.0,4.0,2009.0,69.0,41.0,8.0,20.0,Липська,Дарницький
63000.0,1.0,1286.0,11.0,25.0,2019.0,49.0,16.0,16.0,17.0,Сверстюка,Дарницький
499000.0,3.0,4229.0,8.0,18.0,2009.0,118.0,37.0,14.0,67.0,Драгомирова,Дарницький
49500.0,1.0,1269.0,19.0,26.0,2009.0,39.0,17.0,11.0,11.0,Причальна,Дарницький
275000.0,2.0,4435.0,22.0,28.0,2013.0,62.0,30.0,20.0,12.0,Болсуновська,Печерський
93000.0,3.0,1336.0,13.0,14.0,1994.0,67.0,48.0,14.0,5.0,Повітрофлотський,"Шевченківський, Солом'янський"
87500.0,2.0,1306.0,20.0,25.0,2015.0,67.0,37.0,14.0,16.0,Драгоманова,Дарницький
110000.0,3.0,1325.0,4.0,24.0,2008.0,83.0,37.0,30.0,16.0,Григоренка,Оболонський
900000.0,4.0,3600.0,23.0,24.0,2012.0,250.0,37.0,14.0,199.0,Дніпровська,Оболонський
86000.0,1.0,2205.0,3.0,8.0,2014.0,39.0,37.0,14.0,0.0,Жабаєва,Подільський
335000.0,3.0,2577.0,9.0,14.0,2014.0,130.0,60.0,60.0,10.0,Філатова,Подільський
