Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,area_comfort,street,district,category
435000.0,2.0,3625.0,2.0,10.0,1998.0,120.0,85.0,10.0,25.0,Кропивницького,Печерський,економ
100000.0,1.0,2000.0,3.0,23.0,2016.0,50.0,28.0,20.0,2.0,Трускавецька,Дарницький,бізнес
88107.1,2.0,1223.7,23.0,26.0,2009.0,72.0,34.0,15.0,23.0,Маланюка,Святошинський,бізнес
130000.0,1.0,2653.0,4.0,16.0,2009.0,49.0,18.0,16.0,15.0,Драгомирова,Святошинський,бізнес
125000.0,2.0,1866.0,4.0,9.0,2018.0,67.0,37.0,14.0,16.0,Юнацька,Святошинський,бізнес
89000.0,2.0,1413.0,12.0,14.0,2013.0,63.0,37.0,11.0,15.0,Максимовича,Святошинський,бізнес
110000.0,3.0,1122.0,4.0,25.0,2010.0,98.0,59.0,14.0,25.0,Комарова,Шевченківський,бізнес
70000.0,2.0,1167.0,7.0,12.0,2019.0,60.0,26.0,14.0,20.0,Багговутівська,Шевченківський,бізнес
46000.0,1.0,1000.0,8.0,26.0,2009.0,46.0,37.0,14.0,0.0,Костанайська,Голосіївський,бізнес
84000.0,2.0,1400.0,14.0,24.0,2009.0,60.0,37.0,10.0,13.0,Костанайська,Голосіївський,бізнес
160000.0,3.0,1250.0,3.0,10.0,2010.0,128.0,69.0,18.0,41.0,Срібнокільська,Дарницький,бізнес
42000.0,2.0,913.0,9.0,9.0,1970.0,46.0,37.0,14.0,0.0,Курчатова,Печерський,економ
61000.0,1.0,1743.0,8.0,9.0,1974.0,35.0,17.0,6.0,12.0,Гусовського,Печерський,економ
130000.0,3.0,1512.0,5.0,9.0,1972.0,86.0,43.0,9.0,34.0,Українки,Дарницький,бізнес
120000.0,3.0,1091.0,3.0,16.0,2002.0,110.0,54.0,13.0,43.0,Драгоманова,Дарницький,бізнес
250000.0,2.0,2874.0,11.0,23.0,2012.0,87.0,56.0,31.0,0.0,Дніпровська,Оболонський,бізнес
125000.0,3.0,1322.0,19.0,34.0,2009.0,50.0,37.0,14.0,0.0,Заболотного,Шевченківський,бізнес
79235.0,2.0,1152.0,14.0,34.0,2009.0,50.0,37.0,14.0,0.0,Заболотного,Шевченківський,бізнес
113261.0,2.0,1421.0,9.0,36.0,1961.0,50.0,37.0,14.0,0.0,Перемоги,Шевченківський,бізнес
62000.0,1.0,1403.0,24.0,25.0,2009.0,50.0,37.0,14.0,0.0,Сверстюка,Оболонський,бізнес
131000.0,2.0,2620.0,15.0,25.0,2016.0,50.0,37.0,21.0,0.0,Липківського,Оболонський,бізнес
300000.0,1.0,4000.0,18.0,24.0,2015.0,75.0,28.0,25.0,22.0,Маккейна,Оболонський,бізнес
108000.0,3.0,1200.0,3.0,24.0,2009.0,90.0,54.0,10.0,26.0,Дніпровська,Оболонський,бізнес
47000.0,1.0,1621.0,2.0,5.0,1964.0,29.0,15.0,5.0,9.0,Волгоградська,Солом'янський,економ
57000.0,2.0,919.0,2.0,25.0,2009.0,62.0,45.0,14.0,3.0,Новопольова,Солом'янський,бізнес
135482.1,2.0,1782.6,1.0,25.0,2015.0,76.0,37.0,14.0,25.0,Драгоманова,Дарницький,бізнес
149000.0,4.0,1192.0,3.0,8.0,2019.0,125.0,72.0,17.0,36.0,Лебедєва,Печерський,бізнес
85000.0,2.0,1977.0,1.0,5.0,1962.0,43.0,27.0,4.0,12.0,Драгомирова,Печерський,економ
123900.0,2.0,1721.0,6.0,30.0,2009.0,72.0,46.0,15.0,11.0,Драгомирова,Печерський,бізнес
150000.0,1.0,2727.0,3.0,17.0,2019.0,55.0,37.0,14.0,4.0,Лейпцизька,Печерський,бізнес
285000.0,3.0,2568.0,4.0,22.0,2014.0,111.0,60.0,35.0,16.0,Глибочицька,Шевченківський,бізнес
115000.0,3.0,1106.0,5.0,9.0,2005.0,104.0,65.0,20.0,19.0,Салютна,Шевченківський,бізнес
45900.0,2.0,1020.0,1.0,5.0,1965.0,45.0,30.0,4.0,11.0,Метрологічна,Голосіївський,економ
60000.0,2.0,952.0,18.0,25.0,2009.0,63.0,26.0,17.0,20.0,Північно-Сирецька,Подільський,бізнес
115000.0,2.0,1742.0,15.0,25.0,2018.0,66.0,30.0,18.0,18.0,Правди,Подільський,бізнес
44000.0,1.0,1023.0,24.0,26.0,2018.0,43.0,28.0,12.0,3.0,Вернадського,Печерський,бізнес
85000.0,2.0,1700.0,4.0,25.0,2016.0,50.0,25.0,10.0,15.0,Пчілки,Печерський,бізнес
183693.7,2.0,2213.2,8.0,25.0,2019.0,83.0,44.0,15.0,24.0,Лейпцизька,Печерський,бізнес
200000.0,3.0,2083.0,2.0,5.0,1959.0,96.0,73.0,7.0,16.0,Басейна,"Печерський, Шевченківський",економ
138000.0,2.0,2060.0,13.0,25.0,2011.0,67.0,37.0,14.0,16.0,Шаповала,Оболонський,бізнес
39500.0,1.0,1013.0,20.0,25.0,2009.0,39.0,37.0,10.0,0.0,Бережанська,Оболонський,бізнес
123500.0,2.0,1506.0,6.0,26.0,2009.0,82.0,37.0,18.0,27.0,Бойчука,Шевченківський,бізнес
80000.0,2.0,1250.0,11.0,16.0,2009.0,64.0,35.0,16.0,13.0,Перемоги,Шевченківський,бізнес
1976000.0,5.0,3800.0,17.0,25.0,2019.0,520.0,37.0,20.0,463.0,Івана Федорова,"Голосіївський, Печерський",бізнес
320000.0,2.0,3232.0,13.0,24.0,2019.0,99.0,47.0,13.0,39.0,Антоновича,"Голосіївський, Печерський",бізнес
110000.0,2.0,1735.0,1.0,12.0,2003.0,57.0,37.0,14.0,6.0,Вільямса,Шевченківський,бізнес
92000.0,2.0,1686.8,18.0,26.0,2009.0,57.0,37.0,31.0,0.0,Бойчука,Шевченківський,бізнес
101000.0,1.0,1772.0,33.0,36.0,2009.0,57.0,37.0,14.0,6.0,Перемоги,Шевченківський,бізнес
849000.0,2.0,1550.0,8.0,18.0,2001.0,55.0,37.0,14.0,4.0,Ковпака,"Голосіївський, Печерський",бізнес
85000.0,2.0,1545.0,6.0,16.0,1973.0,55.0,22.0,7.0,26.0,Русанівський,Дніпровський,бізнес
330000.0,3.0,2481.0,7.0,21.0,2010.0,133.0,70.0,22.0,41.0,Українки,Дніпровський,бізнес
